id,name,Spending1988,Spending1993,Spending1998,Spending2003,Spending2008,Spending2013,Spending2018,Latitude,Longitude
1,Alabama,3.6,4.5,6.7,8.8,13.2,13.4,13.9,32.806671,-86.79113
2,Alaska,1.2,1.5,1.6,2.3,3,3.7,3.5,61.370716,-152.404419
3,Arizona,4,5.2,6.6,9.5,14.3,14.5,15.7,33.729759,-111.431221
4,Arkansas,2,2.8,3.8,5.2,7.1,8.3,9,34.969704,-92.373123
5,California,29,40.1,52.9,82.1,105.2,105.3,137,36.116203,-119.681564
6,Colorado,3.6,5,7,9.6,12.9,13.8,18,39.059811,-105.311104
7,Connecticut,3.4,4.8,5.6,8.8,11.3,12.2,14.7,41.597782,-72.755371
8,Delaware,0.8,1.2,1.5,2.1,2.9,3.5,3.8,39.318523,-75.507141
9,District of Columbia,0.6,0.7,0.8,1.3,2.3,2.6,2.9,38.897438,-77.026817
10,Florida,10.1,15.1,20,28.2,42,38,44.8,27.766279,-81.686783
11,Georgia,5.8,8.1,12.4,18.4,25.9,25.4,28.4,33.040619,-83.643074
12,Hawaii,0.9,1.5,1.7,2.4,3.5,3.4,3.7,21.094318,-157.498337
13,Idaho,0.8,1.3,2,2.5,3.2,3.2,3.7,44.240459,-114.478828
14,Illinois,10.5,14.8,19.8,27.4,33.4,36.7,39,40.349457,-88.986137
15,Indiana,5.5,7.6,10.4,13.3,16,17,19.4,39.849426,-86.258278
16,Iowa,3.1,4.1,5.5,6.8,8.8,10.1,11.5,42.011539,-93.210526
17,Kansas,2.5,3.7,4.4,5.9,7.6,8.6,9.9,38.5266,-96.726486
18,Kentucky,3,4.2,5.6,7.3,10.8,11.8,13.8,37.66814,-84.670067
19,Louisiana,3.4,5,6.4,8.5,12,12.3,14.1,31.169546,-91.867805
20,Maine,1.2,1.6,2,2.7,3.2,3.3,3.7,44.693947,-69.381927
21,Maryland,4.7,6.8,8.7,12.7,17.4,18.6,18.5,39.063946,-76.802101
22,Massachusetts,5.6,6.8,10,13.9,17.6,21.3,23.3,42.230171,-71.530106
23,Michigan,11.1,15,20.1,25,28.8,28.3,32.6,43.326618,-84.536095
24,Minnesota,5.1,7.3,9.2,11.9,15,16.2,20.8,45.694454,-93.900192
25,Mississippi,2.2,2.8,4.1,5.3,7.2,7.4,8.9,32.741646,-89.678696
26,Missouri,4.3,5.6,8.2,10.8,14.3,14.6,15.7,38.456085,-92.288368
27,Montana,0.9,1.2,1.5,1.9,2.5,2.7,3.2,46.921925,-110.454353
28,Nebraska,1.6,2.4,3,3.9,5.1,6.2,8.3,41.12537,-98.268082
29,Nevada,0.9,1.7,2.6,3.9,6.4,5.5,6.6,38.313515,-117.055374
30,New Hampshire,1,1.4,1.8,2.6,3.5,3.8,4.5,43.452492,-71.563896
31,New Jersey,8.5,12.9,16.4,23.3,30.9,32.9,39.1,40.298904,-74.521011
32,New Mexico,1.6,2.3,3.1,4.4,6.3,6.2,6.6,34.840515,-106.248482
33,New York,22.1,30.7,36.6,50.2,65.6,75.3,78.9,42.165726,-74.948051
34,North Carolina,6.3,8.7,12.1,16.1,22.2,23.8,27.1,35.630066,-79.806419
35,North Dakota,0.7,1,1.1,1.4,1.9,2.5,3.6,47.528912,-99.784012
36,Ohio,10.3,14.2,18.6,25.6,31.3,33.2,36.7,40.388783,-82.764915
37,Oklahoma,2.8,4,5.2,7.3,9.2,9.7,11.5,35.565342,-96.928917
38,Oregon,3.2,4.5,6,7.7,9.8,10.6,14.6,44.572021,-122.070938
39,Pennsylvania,10.9,17,21,26.8,33.6,37.8,45.5,40.590752,-77.209755
40,Rhode Island,1,1.4,1.7,2.3,3,3.2,3.7,41.680893,-71.51178
41,South Carolina,3.3,4.4,6.2,9,12.4,12.8,15.7,33.856892,-80.945007
42,South Dakota,0.6,0.9,1.1,1.4,1.8,2.1,2.7,44.299782,-99.438828
43,Tennessee,3.7,4.9,7.4,9.6,12.5,13.7,14,35.747845,-86.692345
44,Texas,16.7,24.3,33.1,47.9,66.4,72.4,88.3,31.054487,-97.563461
45,Utah,1.9,2.7,3.9,5.2,7.6,8.6,11.4,40.150032,-111.862434
46,Vermont,0.7,0.9,1.2,1.7,2.2,2.5,2.9,44.045876,-72.710686
47,Virginia,6.2,8.4,11.2,15.7,23.1,24.4,25.9,37.769337,-78.169968
48,Washington,5.2,8.7,10.7,13.8,18.4,20.1,28.1,47.400902,-121.490494
49,West Virginia,1.6,2.4,2.9,3.8,4.7,5.5,5.6,38.491226,-80.954453
50,Wisconsin,5.7,8.1,10.6,13.1,15.8,17.1,5.2,44.268543,-89.616508
51,Wyoming,0.8,0.9,1,1.4,2.3,2.5,3.4,42.755966,-107.30249
